NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y
Shepherds Bush,523720,179920,n/a,London Overground,2,-0.217219888,51.50417089
Shoreditch High Street,533555,182248,n/a,London Overground,1,-0.074700292,51.52285471
Silver Street,533922,192445,n/a,London Overground,4,-0.065526104,51.61440848
Sloane Square,528091,178655,"District, Circle",London Underground,1,-0.15473274,51.49182524
Snaresbrook,540157,188804,Central,London Underground,4,0.023019902,51.58017276
South Acton,520148,179250,n/a,London Overground,3,-0.268894276,51.49891951
South Ealing,517575,179354,Piccadilly,London Underground,3,-0.305919519,51.50039136
South Hampstead,526369,184096,n/a,London Overground,2,-0.177570816,51.54111829
South Harrow,514321,186361,Piccadilly,London Underground,5,-0.350509518,51.56404932
South Kensington,526918,178820,"District, Piccadilly, Circle",London Underground,1,-0.171564291,51.49357736
South Kenton,517336,187060,Bakerloo,London Underground,4,-0.306785037,51.56971265
South Kenton,517316,187081,n/a,London Overground,4,-0.307068904,51.56990367
South Quay,537597,179824,n/a,DLR,2,-0.017414424,51.50009877
South Ruislip,511097,185434,Central,London Underground,5,-0.39728854,51.55635983
South Tottenham,533687,188621,n/a,London Overground,3,-0.070375895,51.58009969
South Wimbledon,525736,169989,Northern,London Underground,3,-0.191711278,51.41446924
South Woodford,540536,190063,Central,London Underground,4,0.028990141,51.59138934
Southbury,534904,196237,n/a,London Overground,5,-0.049888718,51.64825562
Southfields,524726,173313,District,London Underground,3,-0.205058529,51.4445635
Southgate,529676,194265,Piccadilly,London Underground,4,-0.126150933,51.6317626
Southwark,531592,180074,Jubilee,London Underground,1,-0.103788452,51.50377646
St. James's Park,529647,179498,"District, Circle",London Underground,1,-0.132021543,51.49905006
St. John's Wood,526735,183391,Jubilee,London Underground,2,-0.172545248,51.53469852
St. Paul's,532108,181274,Central,London Underground,1,-0.095907533,51.51444286
Stamford Brook,521859,178789,District,London Underground,2,-0.244408726,51.49440814
Stamford Hill,533392,187955,n/a,London Overground,3,-0.074878256,51.57418005
Stanmore,517563,192573,Jubilee,London Underground,5,-0.30167142,51.61921632
Star Lane,539145,182115,n/a,DLR,3,0.005780604,51.52030887
Stepney Green,535621,182136,"District, Hammersmith & City",London Underground,2,-0.044974603,51.52135166
Stockwell,530460,176433,"Northern, Victoria",London Underground,2,-0.121436641,51.47131386
Stoke Newington,533723,186850,n/a,London Overground,2,-0.070536111,51.56417453
Stonebridge Park,519616,184218,Bakerloo,London Underground,3,-0.27487576,51.54368887
Stonebridge Park,519687,184195,n/a,London Overground,3,-0.273853212,51.54346498
Stratford,538530,184395,"Central, Jubilee",London Underground,3,-0.002182514,51.54094802
Stratford,538530,184395,n/a,TfL Rail,3,-0.002182514,51.54094802
Stratford,538521,184409,n/a,London Overground,3,-0.002307264,51.54107928
Stratford,538571,184387,n/a,DLR,3,-0.001594174,51.54086921
Stratford High Street,538752,184020,n/a,DLR,3,0.000869889,51.53752645
Stratford International DLR,538128,184761,n/a,DLR,3,-0.007832275,51.54433906
Sudbury Hill,515412,185542,Piccadilly,London Underground,4,-0.335039246,51.55646384
Sudbury Town,516875,184890,Piccadilly,London Underground,4,-0.314159662,51.55030341
Surrey Quays,535631,178962,n/a,London Overground,2,-0.046055836,51.49282777
Swiss Cottage,526664,184335,Jubilee,London Underground,2,-0.173237239,51.54319998
Sydenham,535369,171585,n/a,London Overground,3,-0.052652564,51.42659082
Temple,530959,180803,"District, Circle",London Underground,1,-0.112643564,51.5104742
Theobalds Grove,535936,201110,n/a,London Overground,7,-0.033083485,51.69180047
Therapia Lane,530283,166842,n/a,Tramlink,4,-0.127515047,51.38515495
Theydon Bois,545542,199101,Central,London Underground,6,0.104967288,51.67133739
Tooting Bec,528047,172374,Northern,London Underground,3,-0.15763366,51.4353811
Tooting Broadway,527434,171443,Northern,London Underground,3,-0.166791248,51.42715702
Tottenham Court Road,529815,181382,"Central, Northern",London Underground,1,-0.128897348,51.51594793
Tottenham Hale,534484,189471,Victoria,London Underground,3,-0.058547162,51.58754655
Totteridge & Whetstone,526120,193989,Northern,London Underground,4,-0.177599794,51.63009248
Tower Gateway,533706,180834,n/a,DLR,1,-0.073061976,51.51011047
Tower Hill,533579,180755,"District, Circle",London Underground,1,-0.074913869,51.50943419
Tufnell Park,529149,185860,Northern,London Underground,2,-0.136858377,51.5563398
Turkey Street,535121,198870,n/a,London Overground,6,-0.045735795,51.67186641
Turnham Green,521266,178779,"District, Piccadilly",London Underground,3,-0.252958803,51.494448
Turnpike Lane,531513,189638,Piccadilly,London Underground,3,-0.101359413,51.58975112
Upminster,556146,186868,District,London Underground,6,0.252767235,51.55857711
Upminster,556108,186859,n/a,London Overground,6,0.25221358,51.55850315
Upminster Bridge,555088,186770,District,London Underground,6,0.237476635,51.55798569
Upney,545846,184254,District,London Underground,4,0.103187503,51.53784406
Upper Holloway,529776,186621,n/a,London Overground,2,-0.127532858,51.56303879
Upton Park,541254,183793,"District, Hammersmith & City",London Underground,3,0.036836325,51.53487026
Uxbridge,505661,184161,"Metropolitan, Piccadilly",London Underground,6,-0.4760666,51.54596187
Vauxhall,530337,177973,Victoria,London Underground,2,-0.122646146,51.48518446
Victoria,528999,179130,"District, Circle, Victoria",London Underground,1,-0.141485017,51.49588954
Waddon Marsh,531090,165897,n/a,Tramlink,5,-0.116278811,51.37647839
Walthamstow Central,537176,188994,Victoria,London Underground,3,-0.019895332,51.58261626
Walthamstow Queens Road,537018,188807,n/a,London Overground,3,-0.022254511,51.58097129
Walthamstow St James Street,536388,188733,n/a,London Overground,3,-0.031370968,51.58045909
Walthamstow Wood Street,538493,189407,n/a,London Overground,4,-0.000741221,51.58600285
Wandle Park,531414,165512,n/a,Tramlink,5,-0.111770014,51.37293871
Wandsworth Road,529390,176196,n/a,London Overground,2,-0.136926893,51.46943062
Wanstead,540673,188254,Central,London Underground,4,0.030247766,51.57509659
Wanstead Park,540570,185590,n/a,London Overground,3,0.027694662,51.55118604
Wapping,535023,180174,n/a,London Overground,2,-0.054345515,51.50386599
Warren Street,529249,182266,"Northern, Victoria",London Underground,1,-0.136735811,51.52401887
Warwick Avenue,526112,182039,Bakerloo,London Underground,2,-0.182005998,51.52269118
Waterloo,530968,179962,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,-0.112818812,51.50291418
Watford,509569,196596,Metropolitan,London Underground,7,-0.415832512,51.65699167
Watford High Street,511326,196075,n/a,London Overground,8,-0.390612987,51.6519637
Watford Junction,511021,197351,n/a,London Overground,8,-0.394615064,51.6634936
Wellesley Road,532506,165769,n/a,Tramlink,5,-0.095978591,51.37499854
Wembley Central,518183,185085,Bakerloo,London Underground,4,-0.295237517,51.55177912
Wembley Central,518184,185126,n/a,London Overground,4,-0.295206549,51.55214998
Wembley Park,519316,186388,"Metropolitan, Jubilee",London Underground,4,-0.278458638,51.56325938
West Acton,519373,181296,Central,London Underground,3,-0.279364414,51.51747345
West Brompton,525381,178024,District,London Underground,2,-0.193973832,51.48676791
West Croydon,532133,166072,n/a,London Overground,5,-0.101229704,51.37780543
West Croydon (Tramlink),532210,166142,n/a,Tramlink,5,-0.100095218,51.37841469
West Finchley,525546,191627,Northern,London Underground,4,-0.186738929,51.60898928
West Ham,539131,182945,"District, Hammersmith & City, Jubilee",London Underground,3,0.00590508,51.52776913
WEST HAM - DLR,539182,182943,n/a,DLR,3,0.006640951,51.52774122
West Hampstead,525592,184653,Jubilee,London Underground,2,-0.188568627,51.54629707
West Hampstead,525579,184651,n/a,London Overground,2,-0.188759559,51.54628297
West Harrow,514200,188029,Metropolitan,London Underground,5,-0.351706569,51.57906815
West India Quay,537495,180586,n/a,DLR,2,-0.018586106,51.50697183
West Kensington,524685,178398,District,London Underground,2,-0.203860054,51.49027946
West Ruislip,508379,186796,Central,London Underground,6,-0.436073394,51.56913097
West Silvertown,540460,180156,n/a,DLR,3,0.023940282,51.50237959
Westbourne Park,524901,181756,"Hammersmith & City, Circle",London Underground,2,-0.199554267,51.52041239
Westferry,537023,180798,n/a,DLR,2,-0.025301528,51.50899182
Westminster,530196,179668,"District, Circle, Jubilee",London Underground,1,-0.124052209,51.50045311
Westompton,525397,178008,n/a,London Overground,2,-0.193747112,51.48661615
White City,523308,180748,Central,London Underground,2,-0.222866489,51.51170695
White Hart Lane,533693,191333,n/a,London Overground,3,-0.069256013,51.60447174
Whitechapel,534698,181851,n/a,London Overground,2,-0.05838503,51.51901529
Whitechapel,534645,181850,"District, Hammersmith & City",London Underground,2,-0.059154123,51.51902202
Willesden Green,523329,184883,Jubilee,London Underground,3,-0.221119357,51.54886838
Willesden Junction,521858,182960,Bakerloo,London Underground,3,-0.242978972,51.5318981
Willesden Junction,521879,182944,n/a,London Overground,0,-0.242688895,51.5317515
Wimbledon,524800,170684,District,London Underground,3,-0.204921053,51.42091587
Wimbledon (Tramlink),524838,170637,n/a,Tramlink,3,-0.204395752,51.42048966
Wimbledon Park,525282,172100,District,London Underground,3,-0.19749098,51.43353749
Wood Green,531015,190428,Piccadilly,London Underground,3,-0.108246806,51.5969712
Wood Lane,523374,180519,"Hammersmith & City, Circle",London Underground,2,-0.221994162,51.50963208
Woodford,540950,191740,Central,London Underground,4,0.035640856,51.60635963
Woodgrange Park,541821,185350,n/a,London Overground,0,0.045631091,51.54871611
Woodside,534701,167101,n/a,Tramlink,5,-0.063965962,51.38645328
Woodside Park,525718,192588,Northern,London Underground,4,-0.183907004,51.61758971
Woolwich Arsenal,543731,178811,n/a,DLR,4,0.070492592,51.48946942
